window_index,timestamp,status,mode,accepted,azimuth_deg,elevation_deg,smoothed_azimuth_deg,smoothed_elevation_deg,azimuth_rate_deg_s,elevation_rate_deg_s,confidence,aggregated_confidence,residual_error2,used_pairs,rejected_pairs,reliable,message,tracking_message,temperature_c,humidity_percent,sound_speed_m_s,window_size,overlap,tdoa_pairs_json
0,0.0,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
1,0.021333333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
2,0.042666666666666665,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
3,0.064,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
4,0.08533333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
5,0.10666666666666667,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
6,0.128,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
7,0.14933333333333335,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
8,0.17066666666666666,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
9,0.192,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
10,0.21333333333333335,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
11,0.23466666666666666,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
12,0.256,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
13,0.2773333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
14,0.2986666666666667,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
15,0.32,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
16,0.3413333333333333,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
17,0.3626666666666667,insufficient_signal,direction,False,,,,,,,0.0,0.0,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
18,0.384,low_confidence,direction,False,-0.03564513845454378,0.018887769079511924,,,,,0.03518601049181093,0.0058643350819684885,1.313922717028288e-09,6,0,False,coplanar direction weakly observable: in-plane ratio 0.0007; confidence below reliable threshold: 0.035,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -3.9041776538628526e-07, ""quality"": 0.24919924405462796, ""weight"": 0.24919924405462796}, {""pair"": [0, 2], ""delay_seconds"": -1.204465322395379e-07, ""quality"": 0.2627742198041668, ""weight"": 0.2627742198041668}, {""pair"": [0, 3], ""delay_seconds"": 4.1281851785152935e-07, ""quality"": 0.25295652935587254, ""weight"": 0.25295652935587254}, {""pair"": [1, 2], ""delay_seconds"": 1.5553763459670853e-07, ""quality"": 0.2744373766268079, ""weight"": 0.2744373766268079}, {""pair"": [1, 3], ""delay_seconds"": 3.3139304343371907e-07, ""quality"": 0.25793810359346603, ""weight"": 0.25793810359346603}, {""pair"": [2, 3], ""delay_seconds"": 6.281323377859444e-07, ""quality"": 0.24936139892176115, ""weight"": 0.24936139892176115}]"
19,0.4053333333333333,ok,direction,True,-43.676166189187896,9.155980127562865,-43.676166189187896,9.155980127562865,,,0.8295864686660741,0.14412874652631416,9.097268652921557e-08,5,1,True,transitivity errors: 2; rejected pairs: 1,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.0003962852756647984, ""quality"": 0.2772959412924275, ""weight"": 0.2772959412924275}, {""pair"": [0, 2], ""delay_seconds"": -0.00019220547048514776, ""quality"": 0.2520547668169517, ""weight"": 0.2520547668169517}, {""pair"": [0, 3], ""delay_seconds"": 9.067705579757645e-05, ""quality"": 0.2625496223971745, ""weight"": 0.2625496223971745}, {""pair"": [1, 2], ""delay_seconds"": 9.49637332381446e-05, ""quality"": 0.2627930033023094, ""weight"": 0.2627930033023094}, {""pair"": [1, 3], ""delay_seconds"": 0.0004894756700798988, ""quality"": 0.29135619784503725, ""weight"": 0.29135619784503725}, {""pair"": [2, 3], ""delay_seconds"": 0.0003980942176729515, ""quality"": 0.2778977253682413, ""weight"": 0.2778977253682413}]"
20,0.4266666666666667,ok,direction,True,-47.42473489410068,1.7353840508282918,-44.988165235907374,6.558771500705764,-61.49995531497543,-121.74415438392637,0.7651111178657727,0.27164726617060964,3.015967402779868e-05,5,1,True,transitivity errors: 2; rejected pairs: 1,,20.0,0.0,343.42,8192,0.5,"[{""pair"": [0, 1], ""delay_seconds"": -0.00041544865882249044, ""quality"": 0.27194871821904104, ""weight"": 0.27194871821904104}, {""pair"": [0, 2], ""delay_seconds"": -3.376840408902266e-07, ""quality"": 0.29437243178876876, ""weight"": 0.29437243178876876}, {""pair"": [0, 3], ""delay_seconds"": 3.2103390618777205e-07, ""quality"": 0.3014473831732761, ""weight"": 0.3014473831732761}, {""pair"": [1, 2], ""delay_seconds"": 2.481889341406687e-07, ""quality"": 0.30844360228882806, ""weight"": 0.30844360228882806}, {""pair"": [1, 3], ""delay_seconds"": 0.00048329989225863793, ""quality"": 0.2953423505706393, ""weight"": 0.2953423505706393}, {""pair"": [2, 3], ""delay_seconds"": 0.0003987266270768415, ""quality"": 0.2742102091521868, ""weight"": 0.2742102091521868}]"
21,0.448,insufficient_signal,direction,False,,,-44.988165235907374,6.558771500705764,,,0.0,0.27164726617060964,,0,0,False,window is not informative: low_energy,result has no angular estimate,20.0,0.0,343.42,8192,0.5,[]
